31895407,33192,0
31898620,31703,0
31901758,31239,0
31904977,32087,0
31908208,32647,0
31911364,32872,0
31914464,32247,0
31917550,31831,0
31920650,32487,0
31923748,33192,0
31926790,33864,0
31929850,32840,0
31932969,31831,0
31936063,32407,0
31939130,33368,0
31942229,33848,0
31945312,33288,0
31948392,32279,0
31951495,31991,0
31954617,32824,0
31957730,33992,0
31961513,34120,0
31964620,33080,0
31968212,32487,0
31971507,33464,0
31974618,34328,0
31977720,34328,0
31980754,33880,0
31983809,33304,0
31986880,33800,0
31990688,34840,0
31994481,35480,0
31997574,34728,0
32000685,34136,0
32003753,34856,0
32006772,35800,0
32009874,36296,0
32012993,35544,0
32016106,34616,0
32019205,34776,0
32022288,35672,0
32025366,36440,0
32028444,36216,0
32031525,35384,0
32034678,34568,0
32037731,34664,0
32040828,35208,0
32043959,34792,0
32047039,33896,0
32050130,32792,0
32053199,32615,0
32056304,34008,0
32059371,34376,0
32062466,33656,0
32065530,32952,0
32068664,32119,0
32071726,32551,0
32074842,32824,0
32077975,32135,0
32081049,31783,0
32084161,31271,0
32087264,31767,0
32090345,32439,0
32093418,33112,0
32096510,32055,0
32099613,31159,0
32102729,30951,0
32105791,31959,0
32108856,32583,0
32111999,32167,0
32115047,31031,0
32118128,31063,0
32121239,31607,0
32124319,32583,0
32127419,32599,0
32130514,31559,0
32133623,30471,0
32136737,30823,0
32139798,31751,0
32143578,32327,0
32146712,31831,0
32149799,30887,0
32152968,31175,0
32156051,32023,0
32159185,32167,0
32162320,31847,0
32165424,31015,0
32168524,30871,0
32171637,31975,0
32174746,32615,0
32178459,32391,0
32181573,31335,0
32184680,30775,0
32187726,31399,0
32190767,32231,0
32193827,32695,0
32196990,31863,0
32200737,30999,0
32203803,31511,0
32206939,32808,0
32210046,33032,0
32213123,32263,0
32216219,31511,0
32219301,31767,0
32222406,32727,0
32225495,33176,0
32228637,32856,0
32231750,32391,0
32234819,31815,0
32237903,32455,0
32241056,33304,0
32244144,33352,0
32247228,32391,0
32250320,31415,0
32253427,31911,0
32256555,32936,0
32259656,33128,0
32262735,32583,0
32265792,31527,0
32268858,31239,0
32271984,32087,0
32275098,32615,0
32278173,32904,0
32281266,31703,0
32284354,30839,0
32287440,31431,0
32290544,32439,0
32293649,33208,0
32296729,32391,0
32299768,31335,0
32302860,31415,0
32305984,32151,0
32309065,33112,0
32312150,32599,0
32315252,31495,0
32318339,31383,0
32321442,32071,0
32324517,32920,0
32327643,32856,0
32330753,32119,0
32333797,31255,0
32336890,31559,0
32340030,32583,0
32343120,32968,0
32346220,32167,0
32349339,31159,0
32352500,31335,0
32355611,32407,0
32358720,33000,0
32361775,32599,0
32364860,31751,0
32367985,31095,0
32371072,31607,0
32374166,32503,0
32377258,32984,0
32381005,31879,0
32384092,31287,0
32387752,32519,0
32390936,33304,0
32394013,33416,0
32397110,32295,0
32400162,31479,0
32403256,31815,0
32406351,32695,0
32409437,33032,0
32412509,32167,0
32415615,31319,0
32418719,31287,0
32421768,32263,0
32424831,33304,0
32427942,33096,0
32431051,31895,0
32434168,31159,0
32437268,31703,0
32440347,33064,0
32443411,33288,0
32446492,32055,0
32449587,31223,0
32452713,31335,0
32455751,32151,0
32458796,32711,0
32461855,32679,0
32464973,31751,0
32468055,31655,0
32471159,32663,0
32474264,33736,0
32477364,34360,0
32480450,33608,0
32483539,32519,0
32486650,32439,0
32489735,32856,0
32492838,33336,0
32495977,32567,0
32499065,31479,0
32502135,31495,0
32505260,32647,0
32509030,34088,0
32512119,33768,0
32515198,32727,0
32518286,31991,0
32521387,32631,0
32524466,33080,0
32527532,33032,0
32530649,32263,0
32533727,31511,0
32536768,31975,0
32539840,32567,0
32543012,32663,0
32546097,32375,0
32549182,31399,0
32552293,30999,0
32555357,32519,0
32559123,32727,0
32562252,31911,0
32565337,30535,0
32568450,30167,0
32571545,30983,0
32574660,31783,0
32577732,32455,0
32580780,33080,0
32583830,34856,0
32586882,39321,0
32590014,44954,0
32593114,50300,0
32596766,54541,0
32599815,57998,0
32602960,60110,0
32606041,57838,0
32609127,50508,0
32612232,40345,0
32615347,31463,0
32619111,27126,0
32622218,28711,0
32625314,31911,0
32628390,34216,0
32632166,34008,0
32635290,33208,0
32638377,32231,0
32641462,31495,0
32644545,30551,0
32647706,29431,0
32650744,29079,0
32653788,30087,0
32656841,31095,0
32659943,31367,0
32663028,31015,0
32666117,29799,0
32669222,29943,0
32672328,30647,0
32675438,31607,0
32678532,31335,0
32681657,30039,0
32684753,29671,0
32687808,30471,0
32690885,31831,0
32694013,31815,0
32697135,30983,0
32700249,30375,0
32703344,30775,0
32706433,31959,0
32709524,32455,0
32712653,31367,0
32715730,30407,0
32718768,30327,0
32721843,31287,0
32724974,32279,0
32728031,32199,0
32731097,31271,0
32734168,30791,0
32737319,31655,0
32740423,32599,0
32743524,32808,0
32747331,31399,0
32750407,30871,0
32753496,31559,0
32756594,32535,0
32759725,33224,0
32762777,32503,0
32765856,31751,0
32768971,31991,0
32772090,33240,0
32775201,34600,0
32778287,34360,0
32781375,33512,0
32784454,33000,0
32787531,33880,0
32790652,34792,0
32793754,35160,0
32796776,34408,0
32799827,33832,0
32802953,34296,0
32806617,35480,0
32809752,35848,0
32812820,35208,0
32815943,34232,0
32819028,34152,0
32822116,34568,0
32825225,35064,0
32828344,34584,0
32831465,33640,0
32834628,32952,0
32837760,33176,0
32840839,33560,0
32843965,33480,0
32847094,32183,0
32850182,30823,0
32853310,31351,0
32856414,31895,0
32859531,32776,0
32862655,32183,0
32865758,30775,0
32868825,31047,0
32871990,31847,0
32875087,32695,0
32878171,32391,0
32881281,31431,0
32884376,30679,0
32887468,30919,0
32890548,31831,0
32893668,32263,0
32896756,31591,0
32899776,30743,0
32902858,30935,0
32905970,31943,0
32909068,32135,0
32912136,31639,0
32915262,30375,0
32919029,30039,0
32922121,30823,0
32925197,32135,0
32928284,32055,0
32931348,31159,0
32934424,30391,0
32937513,30599,0
32940627,31575,0
32943759,32247,0
32946796,31511,0
32949856,30423,0
32952975,31527,0
32956065,32375,0
32959160,32808,0
32962252,32023,0
32965335,31287,0
32968406,31319,0
32971521,32311,0
32974632,33192,0
32977745,32856,0
32980799,31927,0
32983859,31127,0
32987025,31735,0
32990118,32872,0
32993198,33096,0
32996266,32231,0
32999367,31287,0
33002478,31479,0
33005553,32647,0
33008653,33128,0
33011737,33000,0
33015511,31719,0
33018665,31655,0
33021761,33304,0
33024818,33944,0
33027993,33544,0
33031093,32503,0
33034866,31991,0
33037964,32872,0
33041055,33128,0
33044123,33080,0
33047236,31735,0
33050321,30935,0
33053415,31655,0
33063128,31735,0
33066230,30759,0
33070045,31431,0
33073815,33016,0
33076964,33464,0
33080068,32583,0
33083179,31671,0
33086305,31895,0
33089411,33000,0
33092479,33496,0
33095567,32856,0
33099399,31527,0
33102488,31703,0
33105591,32663,0
33108716,33288,0
33111763,33352,0
33114851,32135,0
33117970,31879,0
33121038,32695,0
33124121,33544,0
33127207,33592,0
33130315,32263,0
33133413,31527,0
33136500,32167,0
33139587,33320,0
33142721,33864,0
33145797,33128,0
33148878,32055,0
33152022,32039,0
33155119,32840,0
33158236,33752,0
33161328,33576,0
33164422,32519,0
33167504,31735,0
33170577,32679,0
33173714,33800,0
33176756,34056,0
33179827,33112,0
33182896,32295,0
33186026,32535,0
33189123,33496,0
33192213,33704,0
33195315,33256,0
33198428,32087,0
33201545,31895,0
33204652,32583,0
33207774,33096,0
33210860,33176,0
33214022,32407,0
33217125,31831,0
33220242,32679,0
33223361,33704,0
33227182,34008,0
33230330,32872,0
33234086,32183,0
33237249,32792,0
33240361,33736,0
33243448,34136,0
33246543,33208,0
33249671,32343,0
33252740,32888,0
33255837,34136,0
33258892,35176,0
33261998,34936,0
33265099,33976,0
33268176,33880,0
33271898,34472,0
33275049,34520,0
33278138,34056,0
33281225,32679,0
33284333,32151,0
33287418,33256,0
33290497,34360,0
33293580,34696,0
33296705,33848,0
33299741,32824,0
33302798,32952,0
33305854,33672,0
33308981,33864,0
33312075,33432,0
33315153,32455,0
33318253,32487,0
33321346,33656,0
33324466,34424,0
33327549,34152,0
33330674,32599,0
33333747,31863,0
33337611,32631,0
33340707,33784,0
33343756,34168,0
33346870,32984,0
33350712,32039,0
33353793,32423,0
33356919,33000,0
33360056,33048,0
33363167,32503,0
33366306,32711,0
33369429,35528,0
33372529,40073,0
33375672,45195,0
33378731,49500,0
33381787,52892,0
33384856,57261,0
33388023,61503,0
33391088,61471,0
33394149,55981,0
33397240,45483,0
33400329,35352,0
33403438,29431,0
33406550,28326,0
33409669,30455,0
33412747,33112,0
33415814,34808,0
33418896,35720,0
33422047,35832,0
33425140,34776,0
33428244,33016,0
33431318,31127,0
33434406,30519,0
33437483,31671,0
33440556,32872,0
33444308,32583,0
33447422,30999,0
33450512,30535,0
33453596,31239,0
33456711,32503,0
33459775,33128,0
33462811,32023,0
33466582,31079,0
33469721,31591,0
33472756,32904,0
33475829,33224,0
33478952,32551,0
33482058,31575,0
33485180,31511,0
33488298,32327,0
33491399,32776,0
33494556,32615,0
33497663,31543,0
33500738,31031,0
33503771,31863,0
33506873,32711,0
33510033,33288,0
33513125,32359,0
33516215,31799,0
33519334,32423,0
33522434,33560,0
33525524,34184,0
33528616,33608,0
33531721,32599,0
33534750,32503,0
33537835,33272,0
33540974,34344,0
33544074,34264,0
33547171,33368,0
33550298,33112,0
33553427,33800,0
33556546,35160,0
33559671,35688,0
33562733,34744,0
33565769,34152,0
33568850,34312,0
33572028,35480,0
33575125,36152,0
33578211,35992,0
33581304,35048,0
33584412,34792,0
33587479,35512,0
33590559,35992,0
33593671,36184,0
33596742,35864,0
33599777,35112,0
33602845,35576,0
33605970,36392,0
33609064,36712,0
33612159,35656,0
33615258,34280,0
33618362,34312,0
33621454,34904,0
33624541,35256,0
33627669,34600,0
33631434,32615,0
33634521,31975,0
33637660,32455,0
33640751,33288,0
33643805,33096,0
33646863,32007,0
33649968,31223,0
33653682,31495,0
33656779,32135,0
33659828,32776,0
33662885,32007,0
33666011,31031,0
33669095,31383,0
33672187,32455,0
33675295,32695,0
33678387,31783,0
33681477,30871,0
33684572,30519,0
33687716,31239,0
33690790,31703,0
33693864,32103,0
33697660,30903,0
33700756,30695,0
33703821,31591,0
33706960,32471,0
33710074,32407,0
33713163,31479,0
33716239,30679,0
33719322,31047,0
33722390,32167,0
33725458,32776,0
33728557,32263,0
33731656,31319,0
33734772,31015,0
33737798,31687,0
33740868,32487,0
33743997,32471,0
33747074,31703,0
33750160,31207,0
33753279,31623,0
33756366,32776,0
33759441,33272,0
33762525,32583,0
33765635,31319,0
33768754,31319,0
