31895098,25747
31903188,25780
31911071,25786
31918936,25793
31926534,25793
31934334,25787
31941940,25800
31949756,25803
31957434,25803
31964325,25803
31972898,25807
31980500,25792
31988284,25794
31994186,25786
32002054,25785
32009614,25775
32017470,25768
32025064,25718
32032937,25713
32040573,25713
32048390,25711
32056009,25721
32063819,25718
32071473,25716
32079336,25713
32086968,25713
32094775,25715
32102431,25704
32110266,25699
32117827,25695
32125677,25693
32133327,25690
32148110,25672
32155750,25666
32163703,25656
32171338,25656
32179845,25657
32187473,25665
32195255,25674
32202121,25676
32209742,25665
32217585,25671
32225198,25668
32233125,25666
32240760,25667
32248595,25676
32256257,25677
32264105,25688
32271684,25693
32279529,25699
32287140,25689
32295003,25682
32302603,25680
32310429,25682
32318044,25684
32325910,25673
32333544,25673
32341399,25676
32349044,25679
32355319,25674
32363175,25669
32370770,25677
32385461,25679
32393718,25670
32401528,25674
32409142,25675
32417003,25665
32424581,25663
32432419,25666
32440055,25667
32447864,25660
32455501,25658
32463247,25663
32470860,25658
32478725,25660
32486355,25663
32494251,25665
32501836,25652
32508727,25651
32516558,25655
32524173,25657
32532010,25667
32539579,25666
32547464,25667
32555059,25662
32561955,25667
32569815,25672
32577437,25677
32585210,25673
32592821,25675
32601232,25677
32608826,25679
32623580,25672
32630434,25664
32638087,25664
32645950,25665
32653530,25658
32661307,25659
32668924,25654
32676794,25661
32684461,25660
32692277,25660
32699953,25665
32707789,25658
32715477,25659
32723261,25669
32730804,25665
32738690,25662
32745597,25665
32753200,25671
32761084,25668
32768661,25671
32776552,25674
32784166,25683
32792043,25685
32799572,25687
32808032,25682
32815647,25692
32823487,25689
32831168,25681
32837461,25687
32845363,25684
32853020,25685
32860938,25608
32868576,25613
32876444,25613
32884082,25614
32891935,25608
32899526,25611
32907336,25608
32914960,25603
32921820,25601
32929632,25608
32937222,25603
32945117,25599
32952672,25597
32960511,25585
32968113,25587
32976023,25583
32983608,25617
32991477,25618
32999067,25628
33006939,25628
33015191,25632
33023136,25645
33030793,25649
33037666,25650
33045514,25648
