70139546,23093
70147451,23099
70154932,23096
70163160,23096
70170980,23093
70185445,23101
70193345,23099
70200970,23094
70208798,23094
70216433,23092
70223344,23097
70231211,23094
70238809,23092
70246634,23094
70254288,23092
70262139,23091
70269797,23092
70277583,23089
70285218,23093
70293029,23090
70300604,23089
70308468,23099
70316055,23100
70323967,23092
70331592,23093
70338509,23094
70346388,23099
70353955,23088
70361796,23094
70369988,23091
70377864,23093
70385494,23093
70393369,23092
70400955,23091
70407820,23093
70415653,23092
70423267,23090
70431113,23090
70438762,23093
70446602,23089
70454223,23093
70462077,23096
70469720,23094
70477505,23095
70485142,23094
70492996,23090
70500576,23098
70508438,23096
70516003,23091
70523840,23090
70531510,23088
70546297,23090
70553908,23090
70561747,23095
70569375,23092
70576209,23098
70584627,23093
70592306,23092
70600164,23101
70607808,23100
70615665,23093
70623287,23092
70630181,23097
70638012,23096
70645686,23096
70660155,23099
70668095,23091
70675020,23095
70682703,23088
70690515,23093
70698119,23091
70705965,23095
70713562,23090
70721442,23100
70729093,23095
70736956,23089
70744543,23091
70752429,23097
70760040,23095
70766899,23094
70774754,23094
70782344,23098
70790211,23094
70798542,23090
70806440,23091
70813285,23090
70820865,23095
70828693,23089
70836319,23091
70844130,23092
70851743,23093
70859579,23094
70867185,23085
70875074,23090
70881990,23092
70889676,23088
70897460,23094
70905026,23094
70912835,23091
70920475,23091
70928408,23090
70935961,23088
70943810,23093
70951433,23095
70959340,23090
70966934,23094
70974764,23091
70982385,23092
70990219,23093
70997855,23090
71006278,23088
71013895,23088
71028576,23091
71035452,23093
71043052,23100
71049934,23091
71057773,23088
71065385,23087
71073238,23085
71080824,23092
71088607,23087
71096188,23086
71103999,23092
71111619,23088
71119442,23088
71127066,23090
71134869,23091
71149358,23088
71156252,23082
71164089,23084
71170942,23086
71178562,23089
71186478,23085
71194109,23093
71201956,23087
71209569,23089
71218117,23091
71225754,23089
71233604,23098
71241188,23087
71249026,23091
71256666,23084
71264510,23087
71271373,23084
71278989,23092
71285882,23088
71293723,23089
71301366,23092
71309170,23094
71316779,23087
71324621,23090
71332282,23094
71340155,23086
71347858,23086
71355658,23086
71363298,23089
71371108,23087
71378779,23089
71386572,23087
71394207,23083
71402096,23080
71409813,23086
71417647,23078
71425798,23080
71433642,23084
71441217,23085
71449074,23089
71456702,23084
71464537,23086
71471399,23088
71479005,23089
71485855,23088
71493650,23086
71501244,23087
71509083,23088
71516686,23088
71523577,23087
71531455,23083
71539067,23082
71546955,23088
71554555,23085
71562418,23087
71569981,23086
71577782,23088
71585391,23088
71593229,23088
71600875,23090
71608714,23087
71616299,23082
71624120,23085
71631797,23084
71640273,23088
71647864,23089
71655698,23083
71663319,23086
71671151,23088
71678776,23089
71686590,23088
71694208,23088
71702030,23081
71708864,23085
71716463,23093
71724369,23088
71731984,23086
71739838,23086
71754327,23084
71762162,23092
71769816,23092
71777612,23090
71785191,23090
71793050,23086
71800661,23091
71808512,23088
71816147,23087
71824021,23087
71831606,23092
71839464,23090
71846879,23086
71854499,23083
71862378,23088
71869945,23091
71877819,23090
71884718,23089
71899148,23091
71906840,23085
71914685,23088
71922351,23090
71930231,23093
71937868,23093
71944724,23095
71952532,23084
71960150,23092
71967998,23092
71975593,23091
71983440,23091
71990333,23089
71997193,23092
72004832,23090
72012645,23088
72020296,23091
72028131,23095
72035783,23087
72043623,23087
72051208,23093
72059050,23089
72067313,23089
72075154,23090
72081994,23088
72089668,23095
72097525,23090
72105093,23089
72112942,23093
72120552,23088
72128437,23092
72136044,23086
72143869,23088
72151481,23086
72159380,23090
72166963,23090
72174798,23094
72182392,23088
72190272,23089
72197878,23092
72205695,23089
72213305,23094
72221129,23089
72228034,23093
72235656,23083
72243486,23090
72251025,23088
72258865,23094
72266466,23089
72274888,23089
72282396,23095
72290261,23090
72297882,23089
72305653,23090
72313241,23088
72320073,23088
72327950,23093
72335585,23092
72343435,23088
72357112,23092
72364743,23088
72372540,23082
72380125,23088
72387954,23086
72395568,23083
72403443,23093
72411038,23087
72418908,23091
72426516,23092
72434352,23088
72441244,23085
72448880,23088
72456652,23093
72464274,23081
72477384,23090
72485827,23089
72493401,23098
72501249,23094
72508879,23092
72516744,23091
72524419,23091
72532304,23091
72539878,23082
72547743,23086
72555377,23089
72563199,23089
72570828,23091
72578611,23092
72586208,23090
72593077,23093
72600926,23091
72608536,23089
72616425,23089
72624049,23091
72631847,23091
72639489,23093
72647356,23093
72654929,23093
72662752,23090
72670371,23089
72678285,23092
72685916,23091
72694371,23095
72701977,23086
72708852,23088
72716711,23090
72724340,23094
72732157,23090
72739811,23093
72747623,23085
72755256,23094
72763075,23091
72770700,23094
72778538,23090
72786179,23093
72793095,23089
72799959,23094
72807755,23092
72815406,23084
72823295,23086
72829499,23091
72843968,23089
72851783,23091
72859375,23096
72867274,23093
72874890,23092
72882746,23092
72890370,23087
72898189,23097
72906445,23094
72913307,23089
72920171,23097
72928084,23090
72935768,23094
72943574,23088
72951219,23089
72959052,23095
72966724,23096
72974517,23096
72982119,23092
72989958,23090
72997598,23090
73005457,23094
73013074,23094
73020915,23100
73028507,23093
73036384,23090
73043931,23088
73051779,23099
73059409,23087
73065520,23090
73073433,23093
73081032,23099
73088901,23096
73096481,23086
73104335,23092
73112559,23098
73120454,23092
73128068,23094
73142575,23088
73149449,23095
73157135,23088
73164994,23087
73172589,23094
73179480,23091
73187346,23096
73201821,23088
73209676,23090
73217325,23093
73225271,23099
73232922,23092
73240795,23087
73248394,23093
73256186,23092
73263849,23090
73271647,23098
73279245,23099
73287083,23091
73294741,23094
73301600,23099
73309451,23094
73317012,23096
73324855,23090
73333066,23089
73340934,23091
73348577,23092
73356480,23091
73364090,23088
73371961,23092
73379551,23094
73386400,23091
73394291,23092
73401926,23093
